日期,已订购商品销售额,已订购商品销售额 - B2B,已订购商品数量,已订购商品数量 - B2B,订单商品总数,订单商品总数 - B2B,已发货商品销售额,已发货商品数量,已发货订单数量
2024/7/1,"US$4,972.15",US$38.89,374,3,371,3,"US$4,986.14",375,374
2024/8/1,"US$3,945.18",US$55.96,284,4,282,4,"US$3,847.25",276,276
2024/9/1,"US$2,630.12",US$13.99,190,1,186,1,"US$2,756.03",200,200
2024/10/1,"US$1,827.06",US$13.99,135,1,134,1,"US$1,827.06",135,135
2024/11/1,"US$1,790.72",US$0.00,130,0,130,0,"US$1,636.83",119,119
2024/12/1,"US$2,867.95",US$0.00,205,0,195,0,"US$2,937.90",210,209
2025/1/1,"US$1,454.96",US$0.00,105,0,102,0,"US$1,538.90",111,111
2025/2/1,US$717.47,US$0.00,54,0,52,0,US$731.46,55,55
2025/3/1,US$77.94,US$0.00,6,0,6,0,US$91.93,7,7
2025/4/1,US$681.91,US$2.99,211,1,197,1,US$666.94,208,208
2025/5/1,US$139.72,US$4.99,28,1,28,1,US$154.69,31,31
2025/6/1,US$119.76,US$0.00,24,0,22,0,US$114.77,23,23
2025/7/1,US$74.85,US$0.00,15,0,15,0,US$74.85,15,15
2025/8/1,US$54.89,US$4.99,11,1,11,1,US$59.88,12,12
2025/9/1,US$14.97,US$0.00,3,0,3,0,US$14.97,3,3
2025/10/1,US$29.97,US$0.00,3,0,3,0,US$29.97,3,3
2025/11/1,US$19.98,US$0.00,2,0,2,0,US$19.98,2,2
2025/12/1,US$39.96,US$0.00,4,0,4,0,US$39.96,4,4
2026/1/1,US$39.96,US$0.00,4,0,4,0,US$39.96,4,4
2026/2/1,US$19.98,US$0.00,2,0,2,0,US$19.98,2,2
2026/3/1,US$45.92,US$0.00,8,0,8,0,US$45.92,8,8
2026/4/1,US$24.95,US$0.00,5,0,5,0,US$24.95,5,5
2026/5/1,US$0.00,US$0.00,0,0,0,0,US$0.00,0,0